,username,url,url_token,follower_count,articles_count,answer_count,gender,user_type
2803c329ab79d147d8ce96f8f90f8d4d,天软科技,https://www.zhihu.com/api/v4/people/84-27-66-25-58,84-27-66-25-58,82,46,48,0,people
9f175f498c4656412e8962af9bd8771e,聚宽量化内推,https://www.zhihu.com/api/v4/people/ju-kuan-liang-hua-nei-tui,ju-kuan-liang-hua-nei-tui,285,9,0,-1,people
a072cbf8e1785fcea9cdffc093aed6e5,quant.show,https://www.zhihu.com/api/v4/people/quant.show,quant.show,301,47,79,1,people
d30fbccf05322b0a18f52d80beb3cd45,肥肥量化,https://www.zhihu.com/api/v4/people/20-1-8-85,20-1-8-85,379,10,12,0,people
d5fbf1245ac86f6a72596d6fd75ae78b,量化投资世界,https://www.zhihu.com/api/v4/people/quant_world,quant_world,522,11,7,1,people
1f6b12d899fa77750bc3b0b061812367,小树苗,https://www.zhihu.com/api/v4/people/a-fei-de-xiao-hu-die-75,a-fei-de-xiao-hu-die-75,523,0,424,1,people
5ff91253e2adf884e3df73d9f22d2d78,想通了就好,https://www.zhihu.com/api/v4/people/lu-song-13-83,lu-song-13-83,537,19,28,1,people
1a9c21d98b02facf1756274b177d1724,董梦云,https://www.zhihu.com/api/v4/people/andydong1209,andydong1209,576,55,2,1,people
9416c023b139b27bdd3ed51941bbdd39,量化-南山,https://www.zhihu.com/api/v4/people/bu-dong-ru-shan-51-11,bu-dong-ru-shan-51-11,586,1,60,1,people
2cc42a73ac28095da42ad972f2d151cb,李一邨-量化投资,https://www.zhihu.com/api/v4/people/li-yicun-79,li-yicun-79,666,16,180,1,people
b22a5cef6751945f8255b1fee1d110cb,Brian Wu,https://www.zhihu.com/api/v4/people/wwqa-qu,wwqa-qu,671,2,6,1,people
27160ed1f4578162a08c3519a463896e,至简量化,https://www.zhihu.com/api/v4/people/feng-liao-de-mu-rong-fu,feng-liao-de-mu-rong-fu,689,75,102,1,people
d546a712ea226853cbc96da42a01cdef,PKU.ShowMaker,https://www.zhihu.com/api/v4/people/rain-33-4,rain-33-4,697,3,37,1,people
714d12c85f233ab2dc86f37ba9380bd1,空不异色,https://www.zhihu.com/api/v4/people/wu-ming-94-15-72,wu-ming-94-15-72,703,3,10,1,people
c04ccdeac64d80da85c2fbe0bf094a4e,华思远,https://www.zhihu.com/api/v4/people/hua-si-yuan,hua-si-yuan,709,16,24,1,people
1bd764f67d40fb6677426bbdcec1b3d6,西北地区唯一的王几,https://www.zhihu.com/api/v4/people/xi-bei-di-qu-wei-yi-de-wang-ji,xi-bei-di-qu-wei-yi-de-wang-ji,772,19,16,0,people
b7419b43c883fa9008993674bbe1c231,一年打卡百场路演,https://www.zhihu.com/api/v4/people/a-lei-18-69,a-lei-18-69,840,98,93,-1,people
bfb21e5af1e19f4783dd18b0b5928f8c,麻辣龙虾仁,https://www.zhihu.com/api/v4/people/bing-hong-cha-84-71,bing-hong-cha-84-71,885,33,93,-1,people
fee336c8e3ab19cfe85e44b072e94fa4,飞云金教,https://www.zhihu.com/api/v4/people/fei-yun-jin-jiao,fei-yun-jin-jiao,908,21,2,1,people
c180200a8af25f40627fe9b12abe946c,私募甄选家,https://www.zhihu.com/api/v4/people/huang-tai-de-47,huang-tai-de-47,940,76,80,1,people
47c525f0122b8ba4b218dba49e9bb4a5,偷吃狗狗的骨头,https://www.zhihu.com/api/v4/people/reseted1568969065531,reseted1568969065531,1141,0,202,1,people
6cd906084dab4e09803fe50d13c01a46,量化策略人工智能,https://www.zhihu.com/api/v4/people/qtaii,qtaii,1245,61,240,1,people
2597a49f50e3337a6b107391d2a9b721,量化狮,https://www.zhihu.com/api/v4/people/liang-hua-shi,liang-hua-shi,1317,11,26,1,people
2624bd715c3747c6effa3ac7f08b8655,金十交易学院,https://www.zhihu.com/api/v4/people/huan-qiu-xin-wen-she,huan-qiu-xin-wen-she,1321,540,162,0,people
567049f1909b800089ffaab7ba20ad40,Daivy,https://www.zhihu.com/api/v4/people/player_not_pay,player_not_pay,1331,10,1,1,people
d828310803fb16783a75bb5aa4c3a3d6,Lambda,https://www.zhihu.com/api/v4/people/quant-45,quant-45,1496,12,9,-1,people
37ee10484a7e91fd233c770884678800,钱多多,https://www.zhihu.com/api/v4/people/smub,smub,1542,89,562,1,people
1a7d5ed9cd94d34f55220d8bb50730eb,sliova,https://www.zhihu.com/api/v4/people/sliova,sliova,1556,1288,98,1,people
e2402133e15bc43aa55d7d8dfa363475,李乾,https://www.zhihu.com/api/v4/people/liqian-SF159152,liqian-SF159152,1559,5,20,1,people
1f3f5d679426c1fdd64d31e24e91c3d2,钱塘小甲子,https://www.zhihu.com/api/v4/people/qtlyx,qtlyx,1793,29,93,1,people
f8655ebddc58d3d6ae1c7eb31fcd7bc9,Vivian Zhou,https://www.zhihu.com/api/v4/people/sha-du-xiang-dong-17,sha-du-xiang-dong-17,1870,10,59,0,people
f0631b0ec9acc93d049701e9b5141d8b,随缘山人,https://www.zhihu.com/api/v4/people/huang-yun-long-36-73,huang-yun-long-36-73,1934,96,121,1,people
52cbbcadc2c54902ab6c134c08efab37,卡卡罗特,https://www.zhihu.com/api/v4/people/kxian-qi-shi,kxian-qi-shi,1977,109,12,-1,people
50c780481b74c803c1c4f115eefa093e,Kulolo,https://www.zhihu.com/api/v4/people/yang-en-yuan-89,yang-en-yuan-89,2003,4,24,1,people
2f2e832c95a5b080a569ebbb9e82d9cf,陈胜,https://www.zhihu.com/api/v4/people/chen-sheng-51-41-9,chen-sheng-51-41-9,2004,46,301,1,people
d9a2524f81a36f7963b06d6c602a2e28,小龙女,https://www.zhihu.com/api/v4/people/ni-na-46-28,ni-na-46-28,2010,62,240,0,people
14c7539369bca2fc510ac1c994f0d386,大空驴,https://www.zhihu.com/api/v4/people/sui-min-yan,sui-min-yan,2044,27,46,1,people
5680709d6eb49bfa5b07803d5d51161a,慕长风,https://www.zhihu.com/api/v4/people/Jiango.win,Jiango.win,2082,21,45,1,people
eb50cf383eefd4430ad02a3b7b9469f1,量化君也,https://www.zhihu.com/api/v4/people/rui-jin-66-37,rui-jin-66-37,2098,7,25,-1,people
b98f61fe56852f7346261d1a6933a8f4,ForTheHeart,https://www.zhihu.com/api/v4/people/yi-nian-zhi-zhao-22,yi-nian-zhi-zhao-22,2179,29,25,-1,people
e5fd48b3bc6f02f175699421f10a8e23,汪sir在线,https://www.zhihu.com/api/v4/people/bing-bing-ge-ge-72,bing-bing-ge-ge-72,2430,84,48,-1,people
87671a24eaf2c8b6b2742c36ef2f5cef,量化研究QRI,https://www.zhihu.com/api/v4/people/lanruoyao,lanruoyao,2597,26,154,1,people
45c8a2b0c1ec5e83cb73e552585da198,选基人,https://www.zhihu.com/api/v4/people/lao-si-ji-62-36-51,lao-si-ji-62-36-51,2598,8,0,1,people
8a91f7e5c883f86408a506da3246f4be,启四,https://www.zhihu.com/api/v4/people/zhang-kuo-ye,zhang-kuo-ye,2601,581,16,1,people
0aca0a01421875e0d5ce572c0468eee7,爱者之贻,https://www.zhihu.com/api/v4/people/zhang-rui-5-25-62,zhang-rui-5-25-62,2754,76,16,1,people
4eecfcd3104bb52e69759200a727e450,老湾Python量化,https://www.zhihu.com/api/v4/people/chen-li-ming-98-40,chen-li-ming-98-40,3206,10,114,-1,people
4510b0036de1eda61cc621f53ce1e57c,Fitz Hoo,https://www.zhihu.com/api/v4/people/gu-feng-5-32,gu-feng-5-32,3318,25,0,1,people
9c6a30399430ffbbb78115c7797b25eb,立坤,https://www.zhihu.com/api/v4/people/yizidao,yizidao,3390,43,92,1,people
9a2ff970a9b6eb5e87e1f9dcc7d6c8fb,Daisy,https://www.zhihu.com/api/v4/people/dorothy-70-38,dorothy-70-38,3709,25,93,0,people
0d9d81f42c3fae073ad54b8e25f5c198,余天,https://www.zhihu.com/api/v4/people/yutiansut,yutiansut,3821,37,17,1,people
3e734ada52f23d3d45dbbd0cdb07e239,Ray,https://www.zhihu.com/api/v4/people/Ray-zhihu-pro,Ray-zhihu-pro,3966,32,41,1,people
f2565af71ecfa8082284aa411b1bc535,冯迅,https://www.zhihu.com/api/v4/people/feng-xun-21-79,feng-xun-21-79,4028,24,13,1,people
2833e14dca78da5cecbb07eaf59f23d0,alphaquant,https://www.zhihu.com/api/v4/people/shou-zhu-dai-tu-66-21,shou-zhu-dai-tu-66-21,4491,7,31,1,people
dbd18a3e18a711e3575efb1766d4e970,Jermmy,https://www.zhihu.com/api/v4/people/xu-yong-zhe-65,xu-yong-zhe-65,4620,37,20,1,people
0fd85889507ad47c4a460e444829c9f1,斯码特钢,https://www.zhihu.com/api/v4/people/smartgang,smartgang,4719,5,31,1,people
76376f11b59798abe982bead7848b2df,量化猎头 Mike,https://www.zhihu.com/api/v4/people/michael-58-87,michael-58-87,4733,118,212,1,people
0f59cbbf3ad828d9b87712d9ef3a0814,小鱼量化,https://www.zhihu.com/api/v4/people/hh-li-31,hh-li-31,4829,52,110,1,people
4b874959334bb147251aeca5f1bf12e1,薛昆Kelvin,https://www.zhihu.com/api/v4/people/kelvin-xue-60,kelvin-xue-60,4887,0,64,1,people
4e961d18fbd0dfa0e7c003ba566b40b4,kyuubi,https://www.zhihu.com/api/v4/people/kyuubi,kyuubi,4964,0,1248,1,people
48c83571d7c32511961220839efea58f,量化攻城狮,https://www.zhihu.com/api/v4/people/a-shi-11-53,a-shi-11-53,4970,66,46,1,people
41d18262425e86d79b00be26e9070ddc,恐龙叔叔,https://www.zhihu.com/api/v4/people/nan-fang-yao-yao-ling,nan-fang-yao-yao-ling,5176,8,274,-1,people
916a5a83cd1bd9845612b6ff9b3ef603,Joseph,https://www.zhihu.com/api/v4/people/josephchen-12,josephchen-12,5183,10,33,1,people
9bc84724d70e99b8bbd1bed276be7b34,量化观察,https://www.zhihu.com/api/v4/people/zhi-wang-zhi-hu-fen-bu-qing,zhi-wang-zhi-hu-fen-bu-qing,5440,55,251,1,people
4184081605ee7f1b977e445fe9c2c373,Li Changhao,https://www.zhihu.com/api/v4/people/li-chang-hao-29-22,li-chang-hao-29-22,5637,36,135,1,people
5b40d9f8d5a1684bed9a47f1ad94d5ae,felix,https://www.zhihu.com/api/v4/people/felix_ye,felix_ye,5819,10,45,1,people
d2c0d0efb28613bc7d4835f01b79d18f,吴二真,https://www.zhihu.com/api/v4/people/jesse-wu-82,jesse-wu-82,5933,0,128,1,people
1979b6f880b2b21c4d39138c0d1fb5f3,无忌,https://www.zhihu.com/api/v4/people/thucuhkwuji,thucuhkwuji,7249,100,175,1,people
ef898e75eaa81f39693c2637408afc88,krenx,https://www.zhihu.com/api/v4/people/krenx,krenx,7291,164,130,1,people
baadcf67af44a931b42cf22b57f2c492,CuriousBull,https://www.zhihu.com/api/v4/people/hu-chen-69-57,hu-chen-69-57,7335,43,35,1,people
72b4c29905306061f94c538685fa0f83,华尔街老兵,https://www.zhihu.com/api/v4/people/tucker-73-55,tucker-73-55,7779,107,1144,1,people
8d2e01d7c57f49aab5547bfd3fc5260f,搬山,https://www.zhihu.com/api/v4/people/pan-xiao-xiong-31,pan-xiao-xiong-31,7817,0,42,1,people
707f0a1ffcf8f2ccba1fe364fed50f8d,复来指数投资,https://www.zhihu.com/api/v4/people/he-jian-86,he-jian-86,7971,151,188,1,people
980f44984b360c93218d9bf5ce414410,optMaster,https://www.zhihu.com/api/v4/people/optmaster,optmaster,7982,170,27,1,people
3fa0ed25873eaa523519e1eb0f4b8855,喵酱学量化,https://www.zhihu.com/api/v4/people/hiyojiang-xue-liang-hua,hiyojiang-xue-liang-hua,8056,108,72,0,people
f144c6bbef58f3adfced551dd736a611,AI量化投资实验室,https://www.zhihu.com/api/v4/people/weijiabin,weijiabin,8254,609,4,1,people
77fbeb4a1477d5b7299848fdd5dd5418,向斐HariSeldon,https://www.zhihu.com/api/v4/people/cao-xie-66,cao-xie-66,8446,6,4,1,people
9511694765cc0720322a05f03e15d7cc,阿岛格,https://www.zhihu.com/api/v4/people/adog-57-38,adog-57-38,8770,267,250,1,people
bb720843a3cf23876cce598f329f1869,Undefined,https://www.zhihu.com/api/v4/people/undefined-81-33,undefined-81-33,8803,51,55,-1,people
8380183d36455fc8f0d414df32ebe7b6,巨硬新星,https://www.zhihu.com/api/v4/people/zhao-ri-tian-49-19-42,zhao-ri-tian-49-19-42,8825,4,2409,1,people
e3cab541f318c4b8edd6605d9e6e9dd5,可转债量化投资,https://www.zhihu.com/api/v4/people/qi-nian-qian-de-xue-jing,qi-nian-qian-de-xue-jing,9115,273,70,1,people
ade8ee94c48aaee47b089e7d3b240696,野三波,https://www.zhihu.com/api/v4/people/ye-san-bo,ye-san-bo,9771,22,78,1,people
50bf2877451d848ebbddd253aeb075d1,DigQuant点宽,https://www.zhihu.com/api/v4/people/digquant,digquant,10005,411,2,-1,people
c1447eedadc1873e24f9b497160deda4,诸葛小农说量化,https://www.zhihu.com/api/v4/people/nong-cheng-16,nong-cheng-16,10035,3,49,1,people
8e1849b211b80dbf1ae53f620e9d7b95,云金杞,https://www.zhihu.com/api/v4/people/yun-jin-qi,yun-jin-qi,10050,555,235,1,people
19e3a0f9b0c9816f30e4e68a36d8089e,quanthub,https://www.zhihu.com/api/v4/people/jiang-tian-tu,jiang-tian-tu,10115,25,28,1,people
6d9eb90ace31e76ba992283ef1b7379c,LIGHT,https://www.zhihu.com/api/v4/people/berserker408,berserker408,10179,26,50,1,people
5544ae099cc3f41df8370ff894042dda,量化风云,https://www.zhihu.com/api/v4/people/hbaaron,hbaaron,11214,137,457,1,people
6e48dd800b6a93b05f4c5349f6e1cca7,Jesse,https://www.zhihu.com/api/v4/people/jesseweifj,jesseweifj,11371,18,9,1,people
8948282d9358d550d1262230120036e7,陈小米,https://www.zhihu.com/api/v4/people/miranda-0408,miranda-0408,11471,19,27,0,people
2077ae223b1427e72ea0825790cada2a,Charmve,https://www.zhihu.com/api/v4/people/MaiweiE-com,MaiweiE-com,11499,104,203,1,people
93713f43f0d2f60b08784bbfba2e7307,资管小quant,https://www.zhihu.com/api/v4/people/xiang-qian-kan-90-56,xiang-qian-kan-90-56,11866,50,42,1,people
ac984f6ab50f60350f4ebb863c584f02,曾伊言,https://www.zhihu.com/api/v4/people/ceng-yi-yan-8,ceng-yi-yan-8,12602,54,18,-1,people
8f00c8882b37cc0483d86ec7ad1b0548,蒟蒻王,https://www.zhihu.com/api/v4/people/wyvern92,wyvern92,13370,34,29,1,people
b9d15f2d3d5eff1102816955bc9e1b85,GreatPie,https://www.zhihu.com/api/v4/people/greatpie,greatpie,13900,0,967,-1,people
35dbc5f41026da9e6a258fb73f28066a,littledream,https://www.zhihu.com/api/v4/people/littledream-XX,littledream-XX,15164,133,200,1,people
ba2c11518d4a3c091fa1afe01bfd25fb,Steven量化猎头,https://www.zhihu.com/api/v4/people/steven.chen,steven.chen,15170,77,163,1,people
6278f3de76263033f11ca4913e91da76,Cerulean,https://www.zhihu.com/api/v4/people/ceruleanw,ceruleanw,15479,26,198,1,people
a5ca892664ddc6b72702ceee1bdbd2af,私募finder,https://www.zhihu.com/api/v4/people/kakxnxbusbbs,kakxnxbusbbs,15841,127,86,1,people
db3f31136588980b465034a08aa6ae3d,vitu,https://www.zhihu.com/api/v4/people/vitutech,vitutech,16056,25,528,-1,people
1f012ac76fff388e5f08d1b910017ea1,Spectator,https://www.zhihu.com/api/v4/people/spectating,spectating,16358,124,66,1,people
fe083a1ac7cecb253ec2aa10526f4690,探长爱学习,https://www.zhihu.com/api/v4/people/zzqoxygen,zzqoxygen,16861,13,110,1,people
38ae21880c7bb8bc1a3b914372c9aace,君言,https://www.zhihu.com/api/v4/people/kan-re-nao-de-ren-54,kan-re-nao-de-ren-54,20042,17,28,1,people
69fd6b4c637cd17f35e666ae8068c4b8,Mr Figurant,https://www.zhihu.com/api/v4/people/ni-ming-qun-zhong-97,ni-ming-qun-zhong-97,20352,3214,4041,1,people
53d4f8febbfcaf6ba42c8dbe53d7f51f,杨博理,https://www.zhihu.com/api/v4/people/yangboli,yangboli,20381,6,18,1,people
1041f7dfd7e8658c0b7202093472a0a4,阿财,https://www.zhihu.com/api/v4/people/lunafrost,lunafrost,21014,11,3357,1,people
9507d6916f3e41287a41427567674fea,邢不行,https://www.zhihu.com/api/v4/people/xing_buxing,xing_buxing,21730,126,130,1,people
b279816c81ed10e416750b65aaaad31c,搬砖小浪哥,https://www.zhihu.com/api/v4/people/zhuang-gui-jun-50,zhuang-gui-jun-50,21810,1965,66,1,people
506fb3cf7dbb7b111a24e85677993e4c,量化自由之路,https://www.zhihu.com/api/v4/people/30daydo,30daydo,22096,125,489,0,people
7ba9236eefe84f97aa8cef4712b3d63a,夸克圣代,https://www.zhihu.com/api/v4/people/heliumsea,heliumsea,22531,1,267,-1,people
ac0682844c44a9642c5f92ca311d6dfe,Clever Liu,https://www.zhihu.com/api/v4/people/weicong-liu-41,weicong-liu-41,23096,8,14,1,people
7175cfe4cf6fff94c46cd3543633074f,八位数花园,https://www.zhihu.com/api/v4/people/baweishuhuayuan,baweishuhuayuan,23376,54,317,1,people
bd3a97f59a389c5fbddd03d571332a6a,罗勇,https://www.zhihu.com/api/v4/people/luo-yong-4-1,luo-yong-4-1,23578,659,384,1,people
d425437ce15e78f66326cb121ab276ea,阿丽,https://www.zhihu.com/api/v4/people/hunterchen029,hunterchen029,23928,63,0,1,people
5ea45cfca1983f0e64ab2b7829cda5c0,微尘-黄含驰,https://www.zhihu.com/api/v4/people/huang-han-chi-15,huang-han-chi-15,25148,588,391,0,people
6527aaa30e6f5c0955d88a509abafc11,Awing Xu,https://www.zhihu.com/api/v4/people/awing-xu,awing-xu,25520,0,240,1,people
e03ca2a6ad372f7e9da97542151f33ff,starseeker,https://www.zhihu.com/api/v4/people/bruceashbey,bruceashbey,26362,13,81,1,people
bf4f842c471d7d4d0dd5e573087be574,徐所谓向前,https://www.zhihu.com/api/v4/people/high-flyer-quant-xj,high-flyer-quant-xj,28277,7,119,1,people
edf5677cf039ff0c9bfcfb0aa6dd3540,高斯蒙,https://www.zhihu.com/api/v4/people/gao-si-meng,gao-si-meng,30574,0,0,1,people
e219345461a58529d29eac1a4771a4d4,春晓,https://www.zhihu.com/api/v4/people/chunxiao311,chunxiao311,30627,217,98,0,people
38487a5e5ddfac45c839056956b9f635,Python金融量化,https://www.zhihu.com/api/v4/people/tkfy920,tkfy920,30975,103,110,1,people
8891df99e03d3ef60d8f694bf417eb5c,Charlie,https://www.zhihu.com/api/v4/people/charles-58-59-65,charles-58-59-65,30985,216,103,1,people
d4a74f44e91854592356406a37a5f090,Edward.Fu,https://www.zhihu.com/api/v4/people/edward-fu-91,edward-fu-91,32740,66,81,1,people
b75760f9baddfd87eb42ef30d4c542c6,张益唐,https://www.zhihu.com/api/v4/people/19-32-66-94,19-32-66-94,32832,0,2,1,people
6569a87c3ffc5882bcca37faf89ab61b,量化交易前行者,https://www.zhihu.com/api/v4/people/chen-mo-zhong-de-da-xian,chen-mo-zhong-de-da-xian,33266,86,334,1,people
72de9750db2ee76166b0f928ae7c4aed,金融圈笛子,https://www.zhihu.com/api/v4/people/yang-jia-93-39,yang-jia-93-39,33480,2,226,1,people
b9b3c9e889376f30c589f85eb0639923,卢旺杉,https://www.zhihu.com/api/v4/people/luwangshan,luwangshan,34336,0,88,1,people
f7e39864b396951a9ea654a88af161cb,deephub,https://www.zhihu.com/api/v4/people/deephub,deephub,34384,1329,10,-1,people
d846182ce96d7391568957101d97912f,艾艾puppy,https://www.zhihu.com/api/v4/people/lu-ai-ai-63-7,lu-ai-ai-63-7,34922,107,188,0,people
08bbcfa3ff108605e1eda167fd1300dc,人世间,https://www.zhihu.com/api/v4/people/reseted1529484531386,reseted1529484531386,35869,254,1457,0,people
ded3bca0dd63c277d19aa8d4873adc28,00后富一代,https://www.zhihu.com/api/v4/people/mei-hao-wei-lai-9-78-87,mei-hao-wei-lai-9-78-87,36351,22,75,1,people
a62c7517b6018e6a7b31e661867afc3e,何波,https://www.zhihu.com/api/v4/people/poeho,poeho,38224,11,157,1,people
c45e03cc3b2c24c1761d4c08cb3afffb,教父Kim,https://www.zhihu.com/api/v4/people/mygodfather,mygodfather,38897,20,184,1,people
d0117a3cd1bb56c55040df8ed0fe381f,林鱼儿,https://www.zhihu.com/api/v4/people/lin-yu-er-60,lin-yu-er-60,43410,47,1626,1,people
915a0704e1d323c1bf978627524843d1,JohnnieDrinker,https://www.zhihu.com/api/v4/people/JohnnieDrinker,JohnnieDrinker,44579,3,419,1,people
b82c18e1fbf063984c937ffb19cb1191,LIKE,https://www.zhihu.com/api/v4/people/like-33,like-33,47508,24,81,1,people
a34b992c41148325e22f0eae66044766,之乎者也,https://www.zhihu.com/api/v4/people/zhi-hu-zhe-ye-33-92,zhi-hu-zhe-ye-33-92,50781,81,23,1,people
59915ce281b6623b6d399c8e4c469a1b,Python与数据挖掘,https://www.zhihu.com/api/v4/people/lao-q-84,lao-q-84,52983,606,58,-1,people
5fcd0638adc2143b49d28bbbfbe6d5a1,Quant最爱,https://www.zhihu.com/api/v4/people/zxlrs,zxlrs,54327,455,36,0,people
d919f04552c1c7fe6315a0c8d9990a66,杨影枫,https://www.zhihu.com/api/v4/people/yang-ying-feng-7,yang-ying-feng-7,54646,0,268,1,people
c14a27121520e1f3f73e0b0fb3059914,聪明投资者,https://www.zhihu.com/api/v4/people/cong-ming-tou-zi-zhe,cong-ming-tou-zi-zhe,54951,3610,618,0,people
4717da6123e864f9a9550ae8f53db16d,Jack-Cui,https://www.zhihu.com/api/v4/people/Jack--Cui,Jack--Cui,55679,94,78,1,people
9727fa1d8cb7cad4ea314031499778ce,江南,https://www.zhihu.com/api/v4/people/canslim,canslim,59541,156,650,1,people
6aea0fd77b4a71ce9dc23c90105f6ed7,随波竹留,https://www.zhihu.com/api/v4/people/sui-bo-zhu-liu-11-34,sui-bo-zhu-liu-11-34,62378,187,477,1,people
b058876232f351c7056b0146c1c18e58,正将阿兴,https://www.zhihu.com/api/v4/people/qhacking,qhacking,63473,21,173,1,people
639ac53c506043e76cf1827fe78db8dc,陈皇宇 Renco,https://www.zhihu.com/api/v4/people/chen-huang-yu,chen-huang-yu,64140,20,84,1,people
cc759c5d7c383aa95e7633f06bcf6d82,桔了个仔,https://www.zhihu.com/api/v4/people/huangzhe,huangzhe,64476,87,778,1,people
5ac40ffd846deb4740d83a56551a4cd5,天启大烁哥,https://www.zhihu.com/api/v4/people/lis-10-69,lis-10-69,65787,75,418,1,people
967eac0a5a0780b7603da0051278abda,陈大宝,https://www.zhihu.com/api/v4/people/11410579,11410579,67138,5,1205,0,people
c909c2c131edb6132f925f0f408ca5d1,投行小兵,https://www.zhihu.com/api/v4/people/ibxb,ibxb,76694,2324,471,-1,people
8fdc67b61ebffe84b37a605217737189,BigQuant,https://www.zhihu.com/api/v4/people/bigquant,bigquant,86430,208,736,1,people
3b1c5261cbf57987a7ee8249ddc4c019,夏宇,https://www.zhihu.com/api/v4/people/xiayu1573,xiayu1573,91759,66,681,1,people
5f6a0548d644067d949476560aa17d61,黑猫Q形态,https://www.zhihu.com/api/v4/people/yan-guan-lin-20,yan-guan-lin-20,103750,82,1058,1,people
15aa5ae1ddad5dcc1ac10bc06b9826fa,Jerry Ma,https://www.zhihu.com/api/v4/people/jerryma183,jerryma183,104709,938,689,1,people
3538c663bcd2356726fa2995c855e24e,用Python的交易员,https://www.zhihu.com/api/v4/people/traderusingpython,traderusingpython,105514,191,130,1,people
1751d571cd57282c0451bc022ce7c1ce,GitHub Daily,https://www.zhihu.com/api/v4/people/githubdaily,githubdaily,109214,290,77,1,people
462c79c7d3e381705d35ebc135d256fc,苔执,https://www.zhihu.com/api/v4/people/thuquant,thuquant,112930,97,387,1,people
921602cfb6e599ef57e8153a9b1842e0,babyquant,https://www.zhihu.com/api/v4/people/babyquant,babyquant,113401,763,4646,1,people
e32096ed05966253b1a16160c5ca1585,李狗嗨,https://www.zhihu.com/api/v4/people/lijianhui.net,lijianhui.net,116440,50,251,1,people
65c35f508b1bd677362f91e2313b5771,石川,https://www.zhihu.com/api/v4/people/mitcshi,mitcshi,132616,190,87,1,people
223c3f3147d3f2c09a1245898c0c95aa,董可人,https://www.zhihu.com/api/v4/people/dongkeren,dongkeren,133451,13,160,1,people
528c7ade80f0811e55e8b1bb768dad68,Jack Wang,https://www.zhihu.com/api/v4/people/jackwang9959,jackwang9959,136343,256,2620,1,people
3fc0e5ac8e0e61552b1b0529ba49b3e7,袁浩瀚,https://www.zhihu.com/api/v4/people/id47,id47,147048,3,39,1,people
30f506bc4f6d30f9bab938d991202016,编程指北,https://www.zhihu.com/api/v4/people/bian-cheng-zhi-bei,bian-cheng-zhi-bei,149663,78,690,1,people
f9090a35967964f477bf852afd7cb60e,李腾,https://www.zhihu.com/api/v4/people/li-teng-13,li-teng-13,149976,84,256,1,people
d8f1cc7547119d7c25ea9cebe4484038,Steven Li,https://www.zhihu.com/api/v4/people/steven-li-96,steven-li-96,153852,104,1173,1,people
8afdf0c9c6a7f65f1b895f4d425021a2,鹿灯,https://www.zhihu.com/api/v4/people/ji-fan-8-86,ji-fan-8-86,163659,35,33,1,people
50e52c29a63fa9723d683b250d9c6519,Heinrich,https://www.zhihu.com/api/v4/people/Erdnussoelbearbeiter,Erdnussoelbearbeiter,174015,5,72,1,people
63cdb218d3018e28fd9b32b51e1ee4da,腾天,https://www.zhihu.com/api/v4/people/mei-teng-tian,mei-teng-tian,201013,26,2152,1,people
8ebac1468af7817d830b4a300efe3a6a,干货逻辑,https://www.zhihu.com/api/v4/people/he-jia-lei-80,he-jia-lei-80,228809,147,2570,1,people
a43edcdd0ac3d2e1473023ed0af0bf2a,马同学,https://www.zhihu.com/api/v4/people/matongxue,matongxue,331324,46,187,1,people
db21ba02a1225c168b660d95bb988cb1,吴恩达,https://www.zhihu.com/api/v4/people/wu-en-da-89,wu-en-da-89,388911,67,1,-1,people
17c6a13f6086efebfaf728cf6b37f908,知乎盐选会员,https://www.zhihu.com/api/v4/people/AnonymousLive,AnonymousLive,410315,117,16,0,people
9d1f030113a201f1cde656305c98e377,波旬,https://www.zhihu.com/api/v4/people/boxun,boxun,539219,114,184,-1,people
10d5e5537ef798bb7abc0abe214d335f,图灵的猫,https://www.zhihu.com/api/v4/people/dong-xi-97-29,dong-xi-97-29,556952,59,206,1,people
008b34c38d2f61f02cf92993316626e9,网叔,https://www.zhihu.com/api/v4/people/wang-shu-8-34,wang-shu-8-34,560129,699,507,1,people
f2051508bd0c9a383386e73ff7a8480b,TopView,https://www.zhihu.com/api/v4/people/topview_skyfall,topview_skyfall,619656,991,490,1,people
59de8693e7f26198003475a928058cf9,小约翰,https://www.zhihu.com/api/v4/people/lu-chen-xi-9-98,lu-chen-xi-9-98,860210,6,460,1,people
3d198a56310c02c4a83efb9f4a4c027e,知乎小管家,https://www.zhihu.com/api/v4/people/zhihuadmin,zhihuadmin,1099846,567,84,1,people
043ff01e5d03c529c268d50f388012c2,李开复,https://www.zhihu.com/api/v4/people/kaifulee,kaifulee,1115761,35,110,-1,people
c6e85ba5d5999df4c5ce2f2903b1ce0e,马力在知群,https://www.zhihu.com/api/v4/people/mali,mali,1424503,1791,4121,1,people
9113e8ad024e7db473f8a9ed3f88b898,诗与星空,https://www.zhihu.com/api/v4/people/GalaxyRover,GalaxyRover,2171336,2513,6824,-1,people
